mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.2192200024922688,1.4185049835709989,0.8486607074737549,0.9758744581597111,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.810126582278481,0.7848101265822784,0.7907492110768358,0.014039738707703163,17
0.26681288083394367,0.012552184470272018,0.08477028210957845,0.058811479321209954,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,19
0.35462450981140137,0.017822868768423903,0.06317925453186035,0.009918317954717374,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.8016877637130801,0.7865298017941353,0.010801608447133413,20
0.4268430868784587,0.005707296715409645,0.060001770655314125,0.0006929914884691847,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7773109243697479,0.7890295358649789,0.810126582278481,0.792155680837736,0.013578081302569215,16
0.5327102343241373,0.01097155937826782,0.07128222783406575,0.0009583303386744131,2,500,"{'clf__max_depth': 2, 'clf__n_estimators': 500}",0.7773109243697479,0.7848101265822784,0.8059071729957806,0.7893427413159357,0.012106329091658197,18
0.12585528691609701,0.00415508715817466,0.027308543523152668,0.0003695254335571889,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,10
0.22647889455159506,0.005064923174930263,0.03948163986206055,0.00015919971040737803,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8109243697478992,0.8185654008438819,0.810126582278481,0.813205450956754,0.0038040253509479065,15
0.336620569229126,0.006676778218467201,0.06150277455647787,0.015246325623553292,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8067226890756303,0.8185654008438819,0.8185654008438819,0.8146178302544648,0.0055827078659789475,14
0.45681317647298175,0.017380140984016093,0.06743756930033366,0.009329065015365099,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.8067226890756303,0.8185654008438819,0.8227848101265823,0.8160243000153647,0.006799060142371483,13
0.5198093255360922,0.005906649768423754,0.07092793782552083,0.0004595844633363486,3,500,"{'clf__max_depth': 3, 'clf__n_estimators': 500}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,10
0.13134018580118814,0.0008073629315791883,0.027160247166951496,0.00020083415908983668,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8235294117647058,0.8312236286919831,0.8143459915611815,0.8230330106726235,0.006899201369864901,9
0.23101496696472168,0.007564939043505399,0.039846181869506836,0.0007164367092029,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,4
0.34147842725118,0.010002810140217751,0.05109222730000814,0.0012074276605772755,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,4
0.46909372011820477,0.015786626615136343,0.06388918558756511,0.0031819400693295675,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,8
0.5329582691192627,0.009199654797035831,0.07429989178975423,0.0023205961919535003,4,500,"{'clf__max_depth': 4, 'clf__n_estimators': 500}",0.8235294117647058,0.8312236286919831,0.8185654008438819,0.8244394804335237,0.005207613132077823,7
0.13042171796162924,0.003887224713454476,0.028161048889160156,0.0001955701938187306,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8235294117647058,0.8143459915611815,0.8185654008438819,0.8188136013899231,0.0037532212202245883,12
0.23523283004760742,0.005495981484145928,0.040163278579711914,0.0007596873719672349,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8277310924369747,0.8270042194092827,0.8354430379746836,0.8300594499403137,0.0038183199789483804,2
0.344862699508667,0.007883254331069497,0.05191659927368164,0.0014830527299238682,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8270042194092827,0.8270042194092827,0.8258459501944238,0.0016380400325327685,3
0.45463260014851886,0.0034749778946796773,0.07053716977437337,0.0065442643676162475,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.8235294117647058,0.8270042194092827,0.8396624472573839,0.8300653594771242,0.006932851382522248,1
0.5566872755686442,0.0008704952006292843,0.07494386037190755,0.0016985457003605609,5,500,"{'clf__max_depth': 5, 'clf__n_estimators': 500}",0.819327731092437,0.8227848101265823,0.8312236286919831,0.8244453899703341,0.004996414647046275,4
